participant,fold_p,language_a,language_b,language_c,age,gender,ethnic,occupation,education_a,education_b,dwelling,citizen,residence_length,annoyance_freq,quality,wnss,pss,who,panas_pos,panas_neg
ARAUS_00001,1,1,0,0,28,0,1,1,6,7,1,1,1,6,6,43,24,13,38,30
ARAUS_00002,2,1,1,0,22,1,1,1,5,7,1,1,1,5,3,25,21,15,30,32
ARAUS_00003,3,0,-1,-1,26,1,1,1,7,9,1,1,1,8,0,41,29,6,18,35
ARAUS_00004,4,0,-1,-1,26,0,1,2,7,-1,1,1,1,5,5,31,14,18,39,31
ARAUS_00005,5,1,1,0,21,0,1,1,5,7,4,1,1,3,5,27,21,10,21,22
ARAUS_00006,1,1,0,0,22,1,1,1,6,7,1,1,0,2,5,22,24,13,41,25
ARAUS_00007,2,1,1,0,25,0,1,1,6,7,1,1,1,8,6,25,21,14,28,28
ARAUS_00008,3,1,1,1,27,0,1,1,6,7,1,1,1,3,8,33,19,15,37,28
ARAUS_00009,4,0,-1,-1,24,0,1,1,6,7,1,1,1,2,8,31,22,17,31,18
ARAUS_00010,5,1,1,0,25,1,1,1,7,9,1,1,1,1,7,34,12,15,27,13
ARAUS_00011,1,1,1,1,24,0,1,1,6,7,1,1,1,7,2,38,19,11,31,24
ARAUS_00012,2,1,0,0,29,0,0,2,7,-1,1,0,1,7,5,36,19,19,32,13
ARAUS_00013,3,1,0,0,33,1,1,2,7,-1,1,0,1,8,7,36,18,20,33,17
ARAUS_00014,4,1,1,1,24,1,1,1,6,7,1,1,1,8,3,36,27,10,27,30
ARAUS_00015,5,1,1,0,23,0,1,1,5,7,1,1,1,3,8,22,25,13,31,24
ARAUS_00016,1,1,1,1,27,0,1,1,6,7,1,1,1,5,7,33,23,10,22,26
ARAUS_00017,2,1,1,1,22,1,1,1,5,7,1,1,1,5,6,46,15,11,31,24
ARAUS_00018,3,1,1,0,22,0,1,1,5,7,1,1,1,4,6,27,13,18,37,22
ARAUS_00019,4,1,0,0,22,0,0,1,5,7,2,0,0,8,6,34,24,14,31,19
ARAUS_00020,5,1,1,0,46,1,1,2,3,-1,4,1,1,4,5,35,14,20,29,14
ARAUS_00021,1,1,1,0,22,1,1,1,5,7,1,1,1,7,2,43,28,15,39,28
ARAUS_00022,2,1,1,0,28,0,1,2,7,-1,1,1,1,6,5,33,19,10,36,19
ARAUS_00023,3,1,0,0,27,1,2,1,5,7,1,1,1,2,8,50,21,14,26,19
ARAUS_00024,4,1,0,1,23,1,1,1,6,7,2,1,1,8,6,42,40,1,15,41
ARAUS_00025,5,1,1,1,25,0,1,1,6,7,1,1,1,7,6,33,11,20,38,19
ARAUS_00026,1,1,0,1,25,0,1,1,6,7,1,1,1,6,7,37,19,14,24,20
ARAUS_00027,2,1,0,0,28,0,1,2,7,-1,1,0,1,8,3,47,24,17,46,41
ARAUS_00028,3,1,1,1,22,0,1,1,5,7,3,1,1,8,6,43,17,9,21,17
ARAUS_00029,4,1,1,1,21,1,2,1,5,6,1,1,1,6,7,41,15,12,27,28
ARAUS_00030,5,1,1,0,24,0,1,1,5,7,1,1,1,8,3,39,17,9,19,21
ARAUS_00031,1,1,1,1,23,1,1,1,5,7,4,1,1,5,5,23,18,11,24,22
ARAUS_00032,2,0,-1,-1,24,1,1,4,7,-1,3,1,1,3,7,30,23,14,27,16
ARAUS_00033,3,1,0,0,22,1,1,1,3,7,2,0,0,2,8,20,19,17,29,16
ARAUS_00034,4,1,1,1,52,0,1,2,7,-1,1,1,1,7,6,36,14,17,36,15
ARAUS_00035,5,1,1,1,22,0,3,1,6,7,1,1,1,5,6,33,28,8,20,29
ARAUS_00036,1,1,1,1,20,1,0,1,5,7,1,1,1,6,6,31,23,13,37,25
ARAUS_00037,2,1,0,0,22,1,1,1,5,7,1,0,0,7,8,42,10,19,40,15
ARAUS_00038,3,1,1,1,21,0,1,1,5,7,2,1,1,8,8,39,20,15,36,16
ARAUS_00039,4,1,1,0,24,0,1,1,6,7,1,1,1,3,4,27,20,12,25,24
ARAUS_00040,5,1,1,1,23,1,1,1,5,7,3,1,1,8,2,40,26,13,28,23
ARAUS_00041,1,1,1,0,23,0,1,1,5,7,1,1,1,8,5,41,30,12,33,34
ARAUS_00042,2,1,1,1,21,0,1,1,5,7,2,1,1,6,4,28,32,9,32,41
ARAUS_00043,3,1,1,1,22,1,1,1,6,7,1,1,1,7,8,44,30,9,32,28
ARAUS_00044,4,1,1,1,24,0,1,1,6,7,1,1,1,4,7,27,16,16,39,18
ARAUS_00045,5,1,1,1,48,0,1,2,6,-1,1,1,1,8,8,37,23,10,35,32
ARAUS_00046,1,1,1,1,22,1,1,1,6,7,1,1,1,4,9,21,30,12,28,30
ARAUS_00047,2,1,1,1,26,0,2,1,7,8,1,1,1,7,3,37,17,14,33,20
ARAUS_00048,3,1,1,1,19,0,0,1,5,7,2,0,0,4,7,26,17,15,49,16
ARAUS_00049,4,0,-1,-1,22,1,1,1,6,7,1,1,1,7,3,36,18,15,23,18
ARAUS_00050,5,1,1,0,20,1,1,1,5,7,1,1,1,7,6,32,25,15,27,20
ARAUS_00051,1,1,0,1,21,1,0,1,6,7,1,0,1,7,7,35,18,13,39,25
ARAUS_00052,2,1,1,1,24,0,1,1,6,7,1,1,1,8,6,32,21,10,34,37
ARAUS_00053,3,1,1,1,21,1,1,1,5,7,4,1,1,6,4,30,30,11,28,39
ARAUS_00054,4,1,0,0,25,0,0,1,8,9,4,0,0,6,8,34,1,24,38,14
ARAUS_00055,5,1,1,0,24,0,1,1,7,7,1,1,1,3,8,31,14,15,28,29
ARAUS_00056,1,1,1,0,28,1,1,2,7,-1,1,1,1,6,5,37,20,15,31,24
ARAUS_00057,2,1,0,0,20,1,1,1,5,7,1,1,1,7,3,31,27,9,27,34
ARAUS_00058,3,1,0,0,19,1,0,1,5,7,2,0,0,4,6,35,16,17,36,17
ARAUS_00059,4,1,0,0,47,1,1,2,3,-1,1,1,1,8,1,37,16,19,35,29
ARAUS_00060,5,0,-1,-1,55,1,1,2,7,-1,3,1,1,7,6,27,15,14,29,13
ARAUS_00061,1,1,1,1,22,0,1,1,5,7,1,1,1,2,8,30,10,24,46,13
ARAUS_00062,2,1,1,0,56,1,1,2,6,-1,1,1,1,10,8,45,20,20,36,20
ARAUS_00063,3,1,1,1,31,1,1,2,7,-1,1,1,1,5,8,37,20,7,16,21
ARAUS_00064,4,1,0,1,24,0,1,1,6,7,1,1,1,5,6,29,15,14,29,23
ARAUS_00065,5,1,1,1,26,0,1,1,5,7,1,1,1,6,5,35,19,15,29,23
ARAUS_00066,1,1,0,1,43,1,3,2,6,-1,1,1,1,10,3,37,16,20,39,20
ARAUS_00067,2,1,1,1,22,1,1,1,5,7,2,1,1,9,7,43,23,18,39,28
ARAUS_00068,3,1,0,0,22,1,1,1,6,7,2,0,0,4,6,33,16,16,35,16
ARAUS_00069,4,1,1,1,21,1,1,1,5,7,1,1,1,2,8,24,22,8,17,25
ARAUS_00070,5,1,1,0,22,1,1,1,5,7,4,1,1,6,4,33,13,15,39,13
ARAUS_00071,1,1,1,1,20,1,1,1,5,7,2,1,1,7,4,41,26,9,21,25
ARAUS_00072,2,1,0,0,25,0,1,1,6,7,1,1,1,6,5,40,16,20,33,20
ARAUS_00073,3,0,-1,-1,20,1,1,1,5,7,4,1,1,7,8,36,21,12,25,25
ARAUS_00074,4,1,0,0,21,1,1,1,5,7,2,0,0,6,6,38,18,14,33,35
ARAUS_00075,5,1,0,0,19,1,1,1,5,7,2,0,0,6,8,36,26,13,37,23
ARAUS_00076,1,1,1,0,21,1,1,1,5,7,2,0,0,9,4,30,28,11,25,33
ARAUS_00077,2,0,-1,-1,21,0,3,1,5,7,1,1,1,2,4,23,25,12,26,25
ARAUS_00078,3,1,1,0,23,1,1,1,5,7,1,1,1,6,2,36,15,6,35,23
ARAUS_00079,4,1,0,0,21,1,1,1,5,7,2,0,0,6,7,28,18,13,22,17
ARAUS_00080,5,1,1,0,22,1,1,1,5,7,1,1,1,6,6,34,30,12,22,23
ARAUS_00081,1,1,1,1,25,0,1,1,5,7,4,1,1,6,8,31,13,18,39,18
ARAUS_00082,2,1,1,0,20,0,3,1,6,7,2,0,0,9,8,36,29,18,41,24
ARAUS_00083,3,1,1,1,66,1,1,2,7,-1,1,1,1,8,8,37,18,16,42,15
ARAUS_00084,4,1,0,0,30,0,0,2,9,-1,4,0,0,4,4,39,15,13,30,22
ARAUS_00085,5,1,0,0,21,1,1,1,5,7,2,0,0,7,5,31,15,12,35,15
ARAUS_00086,1,1,0,0,26,0,1,1,7,9,2,0,0,5,6,26,19,20,37,22
ARAUS_00087,2,1,0,0,22,0,1,1,7,8,2,0,0,5,3,43,4,23,38,13
ARAUS_00088,3,1,1,0,20,1,1,1,5,7,2,1,1,9,1,44,19,5,32,25
ARAUS_00089,4,1,0,0,24,1,1,1,7,8,2,0,0,4,8,26,10,18,41,19
ARAUS_00090,5,0,-1,-1,20,1,1,1,5,7,3,1,1,3,6,36,20,18,41,37
ARAUS_00091,1,1,0,0,27,1,1,1,8,9,2,0,0,1,8,35,19,15,29,14
ARAUS_00092,2,1,1,0,24,0,1,1,5,7,4,1,1,5,7,43,12,9,32,18
ARAUS_00093,3,1,1,0,23,1,1,1,6,7,1,1,1,8,8,41,28,14,37,32
ARAUS_00094,4,1,0,0,30,0,1,1,8,9,2,0,0,4,4,38,25,21,38,19
ARAUS_00095,5,1,0,0,29,1,1,0,8,-1,1,0,0,8,2,35,17,5,28,23
ARAUS_00096,1,1,0,0,22,1,0,1,5,7,1,0,0,7,7,39,17,15,39,23
ARAUS_00097,2,1,1,0,28,0,1,2,7,-1,1,1,1,8,2,43,21,15,34,19
ARAUS_00098,3,1,1,0,26,0,1,1,6,7,1,1,1,7,5,41,22,13,26,19
ARAUS_00099,4,1,0,0,26,1,1,1,7,9,1,0,0,5,8,41,22,14,30,31
ARAUS_00100,5,1,1,1,22,0,1,1,5,7,1,1,1,2,10,15,10,17,38,20
ARAUS_00101,1,1,0,0,25,0,0,1,7,9,4,0,0,3,5,36,17,12,26,20
ARAUS_00102,2,1,0,0,28,0,1,1,8,9,1,0,0,3,7,41,21,15,32,19
ARAUS_00103,3,1,0,0,31,1,1,1,8,9,2,0,0,8,6,43,12,15,32,21
ARAUS_00104,4,1,1,0,20,1,1,1,5,7,1,1,1,7,6,39,29,12,32,23
ARAUS_00105,5,1,1,0,30,0,1,2,7,-1,1,1,1,7,5,33,23,12,29,30
ARAUS_00106,1,1,1,0,27,0,1,1,5,7,2,1,1,7,3,33,24,12,22,23
ARAUS_00107,2,1,0,0,19,0,0,1,5,7,2,0,0,6,4,33,25,6,19,28
ARAUS_00108,3,0,-1,-1,23,1,1,1,6,7,1,1,1,6,7,40,28,4,19,22
ARAUS_00109,4,1,1,1,23,1,1,1,5,7,4,1,1,8,4,40,24,13,35,27
ARAUS_00110,5,1,1,0,24,0,1,4,5,-1,1,1,1,8,7,35,24,12,30,30
ARAUS_00111,1,1,1,0,27,1,1,2,7,-1,1,1,1,2,8,40,17,15,41,25
ARAUS_00112,2,1,0,0,23,1,1,1,7,9,2,0,0,6,7,38,6,25,38,24
ARAUS_00113,3,1,1,0,23,0,1,1,6,7,2,1,1,8,3,45,24,15,28,21
ARAUS_00114,4,1,1,0,21,1,1,1,6,7,1,1,1,6,4,31,31,5,26,32
ARAUS_00115,5,1,1,0,25,1,1,2,7,-1,1,1,1,6,7,16,19,12,28,20
ARAUS_00116,1,1,0,0,41,0,1,2,7,-1,1,1,1,4,6,29,16,15,32,16
ARAUS_00117,2,0,-1,-1,22,1,1,1,6,7,1,1,1,9,7,37,34,3,20,40
ARAUS_00118,3,1,1,0,22,0,1,1,5,7,3,1,1,7,6,34,20,17,30,37
ARAUS_00119,4,1,1,0,30,1,3,1,8,9,2,0,0,7,6,43,13,14,38,17
ARAUS_00120,5,1,1,0,21,1,1,1,5,7,2,1,1,7,7,39,28,10,26,29
ARAUS_00121,1,1,0,0,20,1,1,1,3,7,2,0,0,3,5,30,18,20,34,26
ARAUS_00122,2,1,0,1,22,0,1,1,5,7,2,0,0,9,6,42,20,9,31,14
ARAUS_00123,3,1,0,0,24,0,1,1,6,7,2,0,1,4,6,20,22,7,24,35
ARAUS_00124,4,1,0,0,20,1,1,1,5,7,2,0,0,6,5,40,19,12,26,36
ARAUS_00125,5,1,1,0,23,1,1,1,5,7,1,1,1,7,5,32,24,12,33,30
ARAUS_00126,1,1,0,1,19,0,3,1,5,7,2,0,0,1,10,38,10,18,34,15
ARAUS_00127,2,1,0,0,25,1,1,1,6,7,2,0,1,10,6,47,24,14,30,26
ARAUS_00128,3,1,0,0,21,0,1,1,5,7,2,0,0,6,6,37,25,14,29,28
ARAUS_00129,4,1,1,0,49,1,1,3,7,-1,1,1,1,5,8,27,16,20,39,16
ARAUS_00130,5,1,0,0,24,1,1,1,7,7,1,0,0,8,1,39,25,9,27,28
ARAUS_00131,1,1,0,0,20,0,1,1,5,7,2,0,0,2,8,48,13,21,39,13
ARAUS_00132,2,1,1,1,23,0,1,1,5,7,1,1,1,8,8,36,13,20,38,21
ARAUS_00133,3,1,1,0,20,0,3,1,5,7,4,0,0,9,6,35,21,14,43,22
ARAUS_00134,4,1,1,1,24,0,1,1,5,7,1,1,1,4,8,30,20,15,41,19
ARAUS_00135,5,1,0,0,39,1,1,1,8,8,1,0,0,6,9,39,22,19,42,20
ARAUS_00136,1,1,1,0,25,0,1,2,5,-1,1,1,1,3,6,30,14,13,29,17
ARAUS_00137,2,1,1,0,24,0,1,1,5,7,1,1,1,7,5,34,11,20,35,11
ARAUS_00138,3,1,1,0,24,0,1,1,6,7,1,1,1,6,7,34,18,12,38,37
ARAUS_00139,4,1,1,1,58,1,1,2,6,-1,1,1,1,7,6,43,11,17,38,14
ARAUS_00140,5,1,1,0,27,0,1,2,7,-1,1,1,1,10,0,36,21,17,30,26
ARAUS_00141,1,1,1,0,63,0,1,3,3,-1,1,0,1,5,8,32,17,5,31,19
ARAUS_00142,2,1,1,0,25,1,1,2,7,-1,4,1,1,3,7,31,25,12,31,26
ARAUS_00143,3,1,1,0,25,1,1,2,7,-1,1,1,1,8,8,34,9,20,41,20
ARAUS_00144,4,1,1,1,63,0,1,3,7,-1,4,1,1,6,7,28,12,15,36,14
ARAUS_00145,5,0,-1,-1,22,0,1,0,6,-1,4,1,1,1,5,28,24,8,22,22
ARAUS_00146,1,1,0,0,29,1,1,2,7,-1,1,1,1,4,6,29,12,13,27,17
ARAUS_00147,2,1,1,1,60,1,1,3,7,-1,4,1,1,4,6,31,15,18,29,16
ARAUS_00148,3,1,0,1,32,1,0,2,7,-1,4,0,0,7,8,34,27,5,32,32
ARAUS_00149,4,1,0,1,21,0,1,1,5,7,2,1,1,7,9,30,30,10,19,16
ARAUS_00150,5,1,0,0,33,1,0,2,9,-1,4,0,0,9,1,48,5,20,39,12
ARAUS_00151,1,1,0,0,27,0,3,1,8,9,2,0,0,7,7,32,19,12,33,22
ARAUS_00152,2,1,1,0,28,0,1,4,7,-1,1,1,1,4,3,23,14,15,31,14
ARAUS_00153,3,1,1,0,59,1,1,2,5,-1,4,1,1,6,5,33,21,13,34,25
ARAUS_00154,4,0,-1,-1,65,0,1,2,7,-1,4,1,1,2,7,36,6,20,45,12
ARAUS_00155,5,1,0,0,22,0,1,1,5,7,2,0,0,2,9,29,14,19,38,15
ARAUS_00156,1,1,1,1,20,1,3,1,5,7,1,1,1,5,7,32,20,16,25,21
ARAUS_00157,2,1,0,0,19,0,0,1,5,7,2,0,0,4,6,33,10,15,36,20
ARAUS_00158,3,0,-1,-1,23,0,1,1,6,7,4,1,1,8,9,39,22,14,34,29
ARAUS_00159,4,1,0,0,25,0,1,1,6,7,1,1,1,7,5,38,22,9,27,25
ARAUS_00160,5,1,1,0,26,0,2,2,7,-1,1,1,1,7,8,26,16,16,39,18
ARAUS_00161,1,1,0,0,30,1,1,2,7,-1,1,0,1,7,1,47,24,15,42,39
ARAUS_00162,2,0,-1,-1,24,0,1,1,5,7,1,1,1,4,6,36,16,13,22,18
ARAUS_00163,3,1,1,0,31,1,1,0,6,-1,1,1,1,6,7,40,16,14,28,15
ARAUS_00164,4,1,1,1,33,1,1,2,7,-1,3,1,1,6,6,36,23,11,33,28
ARAUS_00165,5,1,1,1,51,0,1,3,7,-1,1,1,1,9,3,43,11,25,44,20
ARAUS_00166,1,1,1,0,27,0,1,2,7,-1,4,1,1,6,6,32,32,5,30,39
ARAUS_00167,2,1,1,0,71,1,0,2,6,-1,1,1,1,5,5,29,15,20,42,11
ARAUS_00168,3,1,1,1,20,1,1,1,5,7,1,1,1,7,7,41,14,18,32,18
ARAUS_00169,4,1,0,0,46,0,1,2,8,-1,1,1,1,7,6,37,16,11,30,12
ARAUS_00170,5,1,1,0,24,0,1,1,6,7,1,1,1,6,7,30,15,15,31,16
ARAUS_00171,1,1,1,1,22,0,1,1,5,7,4,1,1,4,7,36,30,13,22,29
ARAUS_00172,2,1,1,0,33,0,2,0,6,-1,1,1,1,3,8,32,16,18,34,24
ARAUS_00173,3,1,1,1,23,0,1,1,6,7,2,1,1,1,7,18,18,19,45,23
ARAUS_00174,4,1,1,0,29,0,2,2,4,-1,1,1,1,1,8,23,26,4,28,34
ARAUS_00175,5,1,1,0,45,1,1,2,6,-1,1,1,1,5,5,39,23,11,18,27
ARAUS_00176,1,1,1,0,47,0,1,2,7,-1,1,1,1,4,7,42,16,13,36,21
ARAUS_00177,2,1,1,1,24,0,1,1,6,7,3,1,1,10,6,48,37,7,29,31
ARAUS_00178,3,1,0,0,25,0,1,1,6,7,1,1,1,6,5,39,19,16,30,26
ARAUS_00179,4,1,0,0,20,1,0,1,5,7,1,1,1,7,7,18,10,22,33,22
ARAUS_00180,5,1,1,1,33,0,1,2,9,-1,1,1,1,8,3,41,14,19,37,12
ARAUS_00181,1,0,-1,-1,36,0,1,2,7,-1,1,1,1,6,4,24,16,12,27,17
ARAUS_00182,2,1,1,0,23,1,1,1,6,7,1,1,1,9,6,35,26,14,37,26
ARAUS_00183,3,1,1,0,21,1,1,1,5,7,1,1,1,7,8,29,20,12,26,33
ARAUS_00184,4,1,1,0,21,1,1,1,5,7,4,1,1,7,6,38,20,18,34,15
ARAUS_00185,5,1,0,0,20,0,1,1,5,7,2,0,0,3,8,20,16,20,37,28
ARAUS_00186,1,1,1,0,19,1,3,1,5,7,4,1,1,10,2,47,29,10,34,26
ARAUS_00187,2,1,1,1,24,1,1,1,6,7,1,1,1,2,7,34,20,13,38,20
ARAUS_00188,3,1,0,0,18,1,0,1,5,7,2,0,0,7,6,31,25,20,45,35
ARAUS_00189,4,1,1,0,19,1,3,1,5,7,4,1,1,8,6,46,28,10,21,40
ARAUS_00190,5,1,1,0,19,0,3,1,5,7,2,0,0,6,7,34,18,19,38,16
ARAUS_00191,1,1,1,1,27,0,1,2,7,-1,1,1,1,3,3,43,16,15,36,16
ARAUS_00192,2,1,0,0,23,0,3,1,8,9,2,0,0,7,9,37,20,16,35,24
ARAUS_00193,3,1,1,1,18,1,3,1,5,7,2,0,0,2,9,38,18,17,39,24
ARAUS_00194,4,1,1,0,19,0,3,1,5,7,2,0,0,5,7,40,20,13,32,20
ARAUS_00195,5,1,1,1,25,0,1,1,5,7,1,1,1,3,8,40,9,20,36,13
ARAUS_00196,1,1,1,0,24,0,1,1,6,7,1,1,1,7,6,35,22,5,27,36
ARAUS_00197,2,1,0,0,24,0,2,1,6,7,1,1,1,7,4,22,25,8,18,23
ARAUS_00198,3,1,0,0,21,0,1,1,5,7,2,0,0,6,8,28,18,8,23,25
ARAUS_00199,4,1,0,0,22,1,0,1,5,7,2,0,0,2,8,26,22,16,36,25
